gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000224389,C4B,874.644215185362,5.06965496967616,0.317388437582901,15.9730297936641,1.96980612001024e-57,3.48320816201412e-53
ENSG00000123500,COL10A1,517.085972305905,7.66231274253754,0.715108107659783,10.7149012302668,8.66496977934781e-27,7.66113303041037e-23
ENSG00000099953,MMP11,324.769376458987,5.0793428642588,0.477952012108059,10.6273072098929,2.2244253419623e-26,1.31115044406398e-22
ENSG00000060718,COL11A1,790.206959900398,6.38314414353514,0.662893193083146,9.62921962412505,6.0184796837126e-22,2.66061940617725e-18
ENSG00000120875,DUSP4,1803.05344630624,2.44307045142175,0.261370900619081,9.34714019669025,9.00495447315213e-21,3.18469219897498e-17
ENSG00000162482,AKR7A3,291.785081737929,3.94914222512407,0.445606498063008,8.862398197267,7.83113117750289e-19,2.30796487686306e-15
ENSG00000075275,CELSR1,1471.56799571644,4.16309436864814,0.475510062105441,8.75500793866482,2.04089119612399e-18,5.15558271729436e-15
ENSG00000124171,PARD6B,671.909237322674,2.51283013123136,0.287973543046751,8.72590622265396,2.64057438612504e-18,5.83665960873113e-15
ENSG00000227746,C4A,1791.10491904976,3.85272606053474,0.443004680463706,8.69680667143738,3.41354283447486e-18,6.70685310466878e-15
ENSG00000176532,PRR15,117.79403576254,4.10079525633503,0.486336171259304,8.43201780718172,3.39755266180527e-17,6.00789237187025e-14
ENSG00000197774,EME2,240.392190709601,2.56474089208519,0.312460830502352,8.20819969005965,2.24529571460413e-16,3.60941492012226e-13
ENSG00000187017,ESPN,92.7375632284288,4.1586977333445,0.515572380931015,8.06617632588224,7.25340316712138e-16,1.06884940170173e-12
ENSG00000100219,XBP1,7404.09026632513,2.89223197015611,0.372710917028813,7.75998726630409,8.49379131921831e-15,1.10141251095306e-11
ENSG00000175356,SCUBE2,1250.75514983264,1.85284342394949,0.238871557452886,7.75665149801243,8.72011262418302e-15,1.10141251095306e-11
ENSG00000185499,MUC1,1231.93972876072,4.82260360363782,0.638245777398985,7.55602900075761,4.15561228838796e-14,4.89891280637096e-11
ENSG00000188312,CENPP,255.393251813295,2.92913694623036,0.393342275098352,7.44678904777768,9.56393604411256e-14,1.05699425667526e-10
ENSG00000117114,ADGRL2,563.69548573472,-2.07058072444069,0.281381479596437,-7.35862476595957,1.85814536450542e-13,1.93279908709113e-10
ENSG00000091831,ESR1,3361.70041075827,2.61945732211242,0.357842192059662,7.32014664630626,2.47700118838454e-13,2.43337844523354e-10
ENSG00000160180,TFF3,285.947677232678,4.65722058666577,0.640352402571621,7.272902495505,3.51844292662303e-13,3.27455927744605e-10
ENSG00000019505,SYT13,195.059465791309,4.95697484345914,0.703466005503491,7.04650232517105,1.8347106124222e-12,1.62215938797309e-09
