"gene_id","gene_symbol","12-03_normal","12-03_tumor","13-02_normal","13-02_tumor","13-03_normal","13-03_tumor","13-05_normal","13-05_tumor"
"ENSG00000000003","TSPAN6",468.512507224174,157.56841227123,348.530518413517,481.815569063366,340.145380815231,143.398892676986,255.045747421954,246.720084278248
"ENSG00000000005","TNMD",169.79863338419,2.74527988112495,69.7876703981382,0,110.222539518579,0.981197906751639,20.4062933733086,14.6236838452097
"ENSG00000000419","DPM1",245.906250115965,235.732029764403,285.580733571991,296.933902117403,257.17954054605,214.714872922952,229.586318783724,262.580395830998
"ENSG00000000457","SCYL3",133.030332251145,535.205069552441,257.357078696723,334.903055965015,165.1962005503,223.331147738773,234.869353933195,454.234060619438
"ENSG00000000460","FIRRM",64.5372921037235,183.949734024096,92.0952495378109,128.866009351598,76.9049088372136,80.834745476221,105.013082084165,169.706985144703
"ENSG00000000938","FGR",92.5154208160495,41.471272611864,59.5544066562605,34.6880287142833,74.377489782843,24.4880320221265,64.1403183582363,77.2598884538772
"ENSG00000000971","CFH",1800.01454263093,522.203500728389,1466.81297458384,263.794439504876,2782.36928232329,392.476226551261,1737.00437108831,1122.95566122516
"ENSG00000001036","FUCA2",283.98131066562,110.870880923127,269.415808271579,360.895239603362,330.54736528437,238.288377682882,158.72662303299,278.6406322953
"ENSG00000001084","GCLC",570.806178731057,210.446201480806,422.523827661703,806.965773238141,688.079396345589,171.500388616555,456.972988345532,300.601062369929
"ENSG00000001167","NFYA",235.006973745179,388.294631610117,196.108101542161,236.359519454429,244.578016737032,481.805813167532,389.237115806023,382.074022272929
"ENSG00000001460","STPG1",108.897347137155,104.441855677358,83.9255026518588,102.231659592836,101.806462424253,88.770303270424,104.149445691636,103.735433978763
"ENSG00000001461","NIPAL3",157.924607592728,403.37061942078,271.913060072875,584.695237774386,265.207068800414,207.911009139614,491.847868812842,421.457109899109
"ENSG00000001497","LAS1L",285.015357289776,264.011217092979,191.940931670518,259.351318784561,271.866623674311,218.875234958929,233.760971719288,233.426181499428
"ENSG00000001561","ENPP4",536.99806718649,184.561723032318,398.844652197661,512.048401089747,409.403938290249,173.101787728717,237.235604127773,207.980746714337
"ENSG00000001617","SEMA3F",126.0382293666,408.426857940128,163.797178736808,318.012714654115,191.164663601819,622.586367772884,85.5434671670013,289.927437712222
"ENSG00000001626","CFTR",0,4.7868437639634,16.6062997885167,0,0,0,38.6729963597274,12.2762203893856
"ENSG00000001629","ANKIB1",1176.1141133067,583.960390127391,607.256541598166,435.439667441817,606.994671417668,479.730461067319,947.913598475672,815.791339317144
"ENSG00000001630","CYP51A1",141.603939006695,342.809079623021,372.365925277219,749.910581664345,259.490551007671,404.249338966507,270.556817075632,696.646765912844
"ENSG00000001631","KRIT1",510.407392956955,818.96562393136,729.440413174381,563.868170480715,693.495724311871,660.671279675601,971.533025216253,604.363449296843
"ENSG00000002016","RAD52",55.1957229504473,139.391845464786,77.1632665707219,153.023201152119,68.0596374347835,227.627859061117,168.733988286439,116.774179907685
"ENSG00000002330","BAD",226.069883832607,80.9720972554895,113.434046329816,107.478337030557,136.36974680932,34.2128487242171,60.3938386997526,81.5983824101992
"ENSG00000002549","LAP3",492.759133499871,285.106352675786,519.439518702685,388.662482887187,629.958637624464,434.290492167819,397.384027667932,505.248647589632
"ENSG00000002587","HS3ST1",14.5622754361104,15.5680207170264,36.2196555028776,42.1289037787466,15.147397297972,7.84235964961079,14.1653170588603,29.1871450857592
"ENSG00000002746","HECW1",1.03989206480135,3.58273917723026,13.2620989793071,22.0222150917488,7.07913979529226,5.17151133214907,35.0931392022235,13.8836584974628
"ENSG00000002822","MAD1L1",124.430770286488,163.442414326898,110.200516060828,168.809073918879,136.4297375907,240.28527247967,132.851355998614,87.5357104016484
"ENSG00000002834","LASP1",1879.0537580341,1334.08929270856,1139.14667608034,1928.198373747,1865.31147996081,429.493149766362,740.426949744109,1371.88316286383
"ENSG00000002919","SNX11",140.818079480231,116.819604013188,115.472727402589,193.115604248311,124.462374972445,222.711075255981,78.5629346952703,93.6140453482576
"ENSG00000002933","TMEM176A",126.53330981939,58.6155891443031,97.7144283395957,17.0064537195201,145.36496246155,13.1820146068135,63.3000299858792,93.8733619998094
"ENSG00000003056","M6PR",642.819955840475,475.673404412576,459.480778884459,461.74208440051,584.549335713993,580.560866036939,519.015874516414,596.287966274506
"ENSG00000003096","KLHL13",87.9376101337265,107.743049985268,100.48046551233,6.00684755625006,37.2613602902906,1.52347397133439,268.138955032456,68.989078422161
"ENSG00000003137","CYP26B1",390.724847926971,10.8960322800298,112.571446193127,3.10541599422047,363.184879049519,48.7811741495547,74.1895004561834,44.7472102951506
"ENSG00000003147","ICA1",138.572524282601,675.451470531189,193.120449915258,547.570044826844,127.558383926209,371.772946861452,272.412806421812,296.071121692454
"ENSG00000003249","DBNDD1",24.8366530490592,52.3210357820266,20.300514227919,71.8067081916944,8.10477231147246,41.3272929746282,15.9254290392747,45.6124846858852
"ENSG00000003393","ALS2",422.479432525878,583.876849028096,516.177539916692,381.061291406586,508.561908866185,497.034255428015,592.103486968411,413.972491060257
"ENSG00000003400","CASP10",269.290603312155,117.267568358975,269.77652787769,65.1770093634835,368.804973383573,67.1966005835903,152.955337739531,98.3176681623974
"ENSG00000003402","CFLAR",3679.13733100154,1988.38883958896,3158.76672810346,1378.380882976,4762.46738417186,1831.6468278886,3283.83188557766,1988.22683608908
"ENSG00000003436","TFPI",1611.3201642432,557.685082745769,1609.49142061539,316.139598714547,1499.86474031105,376.213799703572,1723.05135715586,763.234482872682
"ENSG00000003509","NDUFAF7",184.512313932411,105.073365626609,139.29304307437,121.814855217978,115.766967293958,90.9227863806456,169.644311817501,119.20569035194
"ENSG00000003756","RBM5",849.250105732287,1522.30437594943,989.815610067645,1291.44401425907,1075.62982871077,1149.79902643723,1526.0809876815,922.971324821139
"ENSG00000003987","MTMR7",0,2.30872428716767,19.8276074974773,47.0015955961468,6.1480439484371,266.790860244845,7.97818852025813,1.85761641575016
"ENSG00000003989","SLC7A2",488.462165035776,219.615864732311,712.733340175453,5061.39222921277,556.263948688993,4838.54636674031,750.007498326254,13532.5586228387
"ENSG00000004059","ARF5",308.054286169379,215.720959385974,221.846989439471,216.158276884137,256.44735167792,280.681723389913,141.394067311196,307.553053741649
"ENSG00000004139","SARM1",90.6155849866531,144.297921966942,139.300061905591,388.865855282308,112.982118477668,172.528107126329,129.420718714052,81.7891046442668
"ENSG00000004142","POLDIP2",463.340343560442,233.926525836529,323.259828203182,253.163672014815,373.314320834304,338.386713812685,248.763299288473,391.801748177343
"ENSG00000004399","PLXND1",1780.92154989987,539.710850041494,1083.78758665916,600.624699275872,2185.98267629729,1570.65007259901,845.127898362301,900.25665164076
"ENSG00000004455","AK2",784.48272227497,833.631916605007,804.125518436217,1014.94180575062,856.144248175955,613.148596464072,704.347860129847,899.950732850429
"ENSG00000004468","CD38",38.6920836688133,16.684709800272,47.9413563121287,12.480279594532,30.0972406655964,10.5279366472331,62.0357581164845,41.2697978524954
"ENSG00000004478","FKBP4",243.751458738651,873.005645617412,339.698659733976,1005.19505414827,168.808079745441,668.313078307123,433.143256553274,648.58056143076
