iteration	modularity
1	0.722129443521431
2	0.6971404343491747
3	0.7308760232417538
4	0.6912338468013325
5	0.7132327193952857
6	0.6889920730028257
7	0.7288359329470577
8	0.7379379123192134
9	0.7182620633860254
10	0.6602336759046973
11	0.6613777485175186
12	0.7150927479865895
13	0.7800767040075486
14	0.6714695586996584
15	0.7373479146810252
16	0.7045336278559956
17	0.720885525354064
18	0.7217778324694984
19	0.7195386416563763
20	0.7168566775676342
21	0.6637199323217129
22	0.7133399882509881
23	0.7681210925222979
24	0.7429926955089302
25	0.6971602922111446
26	0.740781504947369
27	0.7404925510372773
28	0.6711900638867224
29	0.6973085578040658
30	0.7126605758077595
31	0.7028619277154234
32	0.7456018901609884
33	0.7513343002899393
34	0.7043093922634566
35	0.6525102058620909
36	0.7356429376453147
37	0.6871109163513694
38	0.7128110021914973
39	0.7188689163177112
40	0.7180448300893592
41	0.7422334052512612
42	0.6974998830350048
43	0.7299933172447537
44	0.7501809354356198
45	0.7057409561766279
46	0.7436731065356961
47	0.6965089187297127
48	0.7102964884280623
49	0.764149623181716
50	0.7194795937598313
51	0.7676081030272442
52	0.7367243595759114
53	0.6772949237098795
54	0.7466989892313033
55	0.7350943955044021
56	0.7049315407603218
57	0.6745858190427817
58	0.7308401324809686
59	0.6962031046340653
60	0.7483760665586185
61	0.7061908110358237
62	0.7586017262973542
63	0.7474780918942684
64	0.6996471076673799
65	0.7217602066615546
66	0.6838373735993776
67	0.7308432586700293
68	0.7414292781220468
69	0.716003298731748
70	0.7344052650045227
71	0.7434785702676071
72	0.7641710000537015
73	0.7843354762496153
74	0.6699138341224012
75	0.6905883954976708
76	0.6872546301936601
77	0.6505148214250149
78	0.6710373523609726
79	0.6690921039713613
80	0.6769651474098658
81	0.7547861287441328
82	0.7189828739886335
83	0.6775655245445638
84	0.7939570059849855
85	0.6693239189152982
86	0.7402470180185803
87	0.7042168572657969
88	0.7540258606628394
89	0.7429759819528675
90	0.721836075094904
91	0.7618445483813314
92	0.7241662305098522
93	0.6984068082833917
94	0.7591713590696347
95	0.6983604405650017
96	0.6936854341578094
97	0.7959730743177491
98	0.6589049473073151
99	0.7568526970907824
100	0.7305000960187867
101	0.6774883152665196
102	0.7111229541214562
103	0.6984427164533652
104	0.7065887404638386
105	0.7095198501381093
106	0.7181507213293965
107	0.6944203247565998
108	0.7269725993294402
109	0.6874286658393752
110	0.7270974412669937
111	0.6997918247882131
